================== Deformación Lineal IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Número de elementos: 1294 


Deformación con análisis lineal: 

---------------------------------- 
| Elemento |     Deformación     | 
---------------------------------- 
|        1 |       0.00e+000     | 
|        2 |      -1.04e-003     | 
|        3 |       8.92e-005     | 
|        4 |       4.93e-004     | 
|        5 |      -1.14e-004     | 
|        6 |      -1.14e-004     | 
|        7 |      -1.10e-003     | 
|        8 |       8.43e-005     | 
|        9 |       5.18e-004     | 
|       10 |      -1.01e-004     | 
|       11 |      -1.01e-004     | 
|       12 |      -1.09e-003     | 
|       13 |       8.46e-005     | 
|       14 |       5.14e-004     | 
|       15 |      -1.02e-004     | 
|       16 |      -1.02e-004     | 
|       17 |      -1.09e-003     | 
|       18 |       8.46e-005     | 
|       19 |       5.15e-004     | 
|       20 |      -1.02e-004     | 
|       21 |      -1.02e-004     | 
|       22 |      -1.09e-003     | 
|       23 |       8.46e-005     | 
|       24 |       5.15e-004     | 
|       25 |      -1.02e-004     | 
|       26 |      -1.02e-004     | 
|       27 |      -1.09e-003     | 
|       28 |       8.46e-005     | 
|       29 |       5.15e-004     | 
|       30 |      -1.02e-004     | 
|       31 |      -1.02e-004     | 
|       32 |      -1.09e-003     | 
|       33 |       8.46e-005     | 
|       34 |       5.15e-004     | 
|       35 |      -1.02e-004     | 
|       36 |      -1.02e-004     | 
|       37 |      -1.09e-003     | 
|       38 |       8.46e-005     | 
|       39 |       5.15e-004     | 
|       40 |      -1.02e-004     | 
|       41 |      -1.02e-004     | 
|       42 |      -1.09e-003     | 
|       43 |       8.46e-005     | 
|       44 |       5.15e-004     | 
|       45 |      -1.02e-004     | 
|       46 |      -1.02e-004     | 
|       47 |      -1.09e-003     | 
|       48 |       8.46e-005     | 
|       49 |       5.15e-004     | 
|       50 |      -1.02e-004     | 
|       51 |      -1.02e-004     | 
|       52 |      -1.09e-003     | 
|       53 |       8.46e-005     | 
|       54 |       5.15e-004     | 
|       55 |      -1.02e-004     | 
|       56 |      -1.02e-004     | 
|       57 |      -1.09e-003     | 
|       58 |       8.46e-005     | 
|       59 |       5.15e-004     | 
|       60 |      -1.02e-004     | 
|       61 |      -1.02e-004     | 
|       62 |      -1.09e-003     | 
|       63 |       8.46e-005     | 
|       64 |       5.15e-004     | 
|       65 |      -1.02e-004     | 
|       66 |      -1.02e-004     | 
|       67 |      -1.09e-003     | 
|       68 |       8.46e-005     | 
|       69 |       5.15e-004     | 
|       70 |      -1.02e-004     | 
|       71 |      -1.02e-004     | 
