================== Desplazamiento Lineal IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de longitud: m 

Número de nodos: 289 

-------------------------------------------------------- 
                   Desplazamientos (m)                 
-------------------------------------------------------- 
| Nodo |       u_x     |       u_y     |       u_z     |
-------------------------------------------------------- 
|    1 |    0.00e+000  |    0.00e+000  |    0.00e+000  |
|    2 |    0.00e+000  |    0.00e+000  |    0.00e+000  |
|    3 |    1.62e-003  |   -4.57e-004  |   -2.07e-003  |
|    4 |    1.44e-003  |    2.79e-004  |    9.85e-004  |
|    5 |    6.29e-003  |   -4.14e-004  |   -4.27e-003  |
|    6 |    6.12e-003  |    2.45e-004  |    2.02e-003  |
|    7 |    1.42e-002  |   -4.18e-004  |   -6.45e-003  |
|    8 |    1.40e-002  |    2.49e-004  |    3.05e-003  |
|    9 |    2.53e-002  |   -4.17e-004  |   -8.64e-003  |
|   10 |    2.51e-002  |    2.48e-004  |    4.08e-003  |
|   11 |    3.96e-002  |   -4.17e-004  |   -1.08e-002  |
|   12 |    3.94e-002  |    2.48e-004  |    5.11e-003  |
|   13 |    5.72e-002  |   -4.17e-004  |   -1.30e-002  |
|   14 |    5.70e-002  |    2.48e-004  |    6.14e-003  |
|   15 |    7.79e-002  |   -4.17e-004  |   -1.52e-002  |
|   16 |    7.77e-002  |    2.48e-004  |    7.17e-003  |
|   17 |    1.02e-001  |   -4.17e-004  |   -1.74e-002  |
|   18 |    1.02e-001  |    2.48e-004  |    8.20e-003  |
|   19 |    1.29e-001  |   -4.17e-004  |   -1.96e-002  |
|   20 |    1.29e-001  |    2.48e-004  |    9.23e-003  |
|   21 |    1.59e-001  |   -4.17e-004  |   -2.17e-002  |
|   22 |    1.59e-001  |    2.48e-004  |    1.03e-002  |
|   23 |    1.93e-001  |   -4.17e-004  |   -2.39e-002  |
|   24 |    1.93e-001  |    2.48e-004  |    1.13e-002  |
|   25 |    2.30e-001  |   -4.17e-004  |   -2.61e-002  |
|   26 |    2.30e-001  |    2.48e-004  |    1.23e-002  |
|   27 |    2.70e-001  |   -4.17e-004  |   -2.83e-002  |
|   28 |    2.70e-001  |    2.48e-004  |    1.33e-002  |
|   29 |    3.13e-001  |   -4.17e-004  |   -3.05e-002  |
|   30 |    3.13e-001  |    2.48e-004  |    1.44e-002  |
|   31 |    3.60e-001  |   -4.17e-004  |   -3.27e-002  |
|   32 |    3.59e-001  |    2.48e-004  |    1.54e-002  |
|   33 |    4.09e-001  |   -4.17e-004  |   -3.49e-002  |
|   34 |    4.09e-001  |    2.48e-004  |    1.64e-002  |
|   35 |    4.62e-001  |   -4.17e-004  |   -3.70e-002  |
|   36 |    4.62e-001  |    2.48e-004  |    1.75e-002  |
|   37 |    5.18e-001  |   -4.17e-004  |   -3.92e-002  |
|   38 |    5.18e-001  |    2.48e-004  |    1.85e-002  |
|   39 |    5.78e-001  |   -4.17e-004  |   -4.14e-002  |
|   40 |    5.77e-001  |    2.48e-004  |    1.95e-002  |
|   41 |    6.40e-001  |   -4.17e-004  |   -4.36e-002  |
|   42 |    6.40e-001  |    2.48e-004  |    2.06e-002  |
|   43 |    7.06e-001  |   -4.17e-004  |   -4.58e-002  |
|   44 |    7.06e-001  |    2.48e-004  |    2.16e-002  |
|   45 |    7.75e-001  |   -4.18e-004  |   -4.80e-002  |
|   46 |    7.75e-001  |    2.48e-004  |    2.26e-002  |
|   47 |    8.47e-001  |   -4.17e-004  |   -5.01e-002  |
|   48 |    8.47e-001  |    2.49e-004  |    2.36e-002  |
|   49 |    9.22e-001  |   -4.23e-004  |   -5.23e-002  |
|   50 |    9.22e-001  |    2.42e-004  |    2.47e-002  |
|   51 |    1.00e+000  |   -3.85e-004  |   -5.45e-002  |
|   52 |    1.00e+000  |    2.89e-004  |    2.57e-002  |
|   53 |    1.08e+000  |   -5.45e-004  |   -5.66e-002  |
|   54 |    1.08e+000  |    4.95e-005  |    2.68e-002  |
|   55 |    1.17e+000  |   -1.55e-004  |   -5.83e-002  |
|   56 |    1.17e+000  |    2.82e-004  |    2.78e-002  |
|   57 |    1.26e+000  |   -3.38e-004  |   -6.00e-002  |
|   58 |    1.26e+000  |    1.90e-004  |    2.87e-002  |
|   59 |    1.35e+000  |   -2.67e-004  |   -6.15e-002  |
|   60 |    1.35e+000  |    1.70e-004  |    2.95e-002  |
|   61 |    1.44e+000  |   -2.35e-004  |   -6.28e-002  |
|   62 |    1.44e+000  |    1.30e-004  |    3.01e-002  |
|   63 |    1.17e+000  |    2.31e-004  |   -1.45e-001  |
|   64 |    1.08e+000  |   -1.96e-004  |   -1.45e-001  |
|   65 |    1.53e+000  |   -1.98e-004  |   -6.40e-002  |
|   66 |    1.53e+000  |    9.42e-005  |    3.06e-002  |
|   67 |    1.17e+000  |    1.42e-004  |   -2.34e-001  |
|   68 |    1.08e+000  |   -2.53e-004  |   -2.34e-001  |
|   69 |    1.17e+000  |    1.41e-004  |   -3.26e-001  |
|   70 |    1.08e+000  |   -2.29e-004  |   -3.26e-001  |
|   71 |    1.17e+000  |    1.26e-004  |   -4.19e-001  |
|   72 |    1.08e+000  |   -2.18e-004  |   -4.19e-001  |
