================== Fuerza Axial IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Número de elementos: 1294 


Fuerza Axial con análisis Lineal: 

---------------------------------- 
| Elemento |  Fuerza Axial (kN)  | 
---------------------------------- 
|        1 |        0.00e+000    | 
|        2 |       -1.04e+003    | 
|        3 |        8.92e+001    | 
|        4 |        4.93e+002    | 
|        5 |       -1.14e+002    | 
|        6 |       -1.14e+002    | 
|        7 |       -1.10e+003    | 
|        8 |        8.43e+001    | 
|        9 |        5.18e+002    | 
|       10 |       -1.01e+002    | 
|       11 |       -1.01e+002    | 
|       12 |       -1.09e+003    | 
|       13 |        8.46e+001    | 
|       14 |        5.14e+002    | 
|       15 |       -1.02e+002    | 
|       16 |       -1.02e+002    | 
|       17 |       -1.09e+003    | 
|       18 |        8.46e+001    | 
|       19 |        5.15e+002    | 
|       20 |       -1.02e+002    | 
|       21 |       -1.02e+002    | 
|       22 |       -1.09e+003    | 
|       23 |        8.46e+001    | 
|       24 |        5.15e+002    | 
|       25 |       -1.02e+002    | 
|       26 |       -1.02e+002    | 
|       27 |       -1.09e+003    | 
|       28 |        8.46e+001    | 
|       29 |        5.15e+002    | 
|       30 |       -1.02e+002    | 
|       31 |       -1.02e+002    | 
|       32 |       -1.09e+003    | 
|       33 |        8.46e+001    | 
|       34 |        5.15e+002    | 
|       35 |       -1.02e+002    | 
|       36 |       -1.02e+002    | 
|       37 |       -1.09e+003    | 
|       38 |        8.46e+001    | 
|       39 |        5.15e+002    | 
|       40 |       -1.02e+002    | 
|       41 |       -1.02e+002    | 
|       42 |       -1.09e+003    | 
|       43 |        8.46e+001    | 
|       44 |        5.15e+002    | 
|       45 |       -1.02e+002    | 
|       46 |       -1.02e+002    | 
|       47 |       -1.09e+003    | 
|       48 |        8.46e+001    | 
|       49 |        5.15e+002    | 
|       50 |       -1.02e+002    | 
|       51 |       -1.02e+002    | 
|       52 |       -1.09e+003    | 
|       53 |        8.46e+001    | 
|       54 |        5.15e+002    | 
|       55 |       -1.02e+002    | 
|       56 |       -1.02e+002    | 
|       57 |       -1.09e+003    | 
|       58 |        8.46e+001    | 
|       59 |        5.15e+002    | 
|       60 |       -1.02e+002    | 
|       61 |       -1.02e+002    | 
|       62 |       -1.09e+003    | 
|       63 |        8.46e+001    | 
|       64 |        5.15e+002    | 
|       65 |       -1.02e+002    | 
|       66 |       -1.02e+002    | 
|       67 |       -1.09e+003    | 
|       68 |        8.46e+001    | 
|       69 |        5.15e+002    | 
