================== Tensiones IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Magnitud de longitud: m 

Número de elementos: 1294 

Sigma_lin = N_lin/A  

------------------------- 
 Tensiones (kN/m^2)              
------------------------- 
| Elem |    Sigma_lin   | 
------------------------- 
|    1 |    0.00e+000   |
|    2 |   -2.07e+005   |
|    3 |    1.78e+004   |
|    4 |    9.85e+004   |
|    5 |   -2.28e+004   |
|    6 |   -2.28e+004   |
|    7 |   -2.19e+005   |
|    8 |    1.69e+004   |
|    9 |    1.04e+005   |
|   10 |   -2.03e+004   |
|   11 |   -2.03e+004   |
|   12 |   -2.18e+005   |
|   13 |    1.69e+004   |
|   14 |    1.03e+005   |
|   15 |   -2.04e+004   |
|   16 |   -2.04e+004   |
|   17 |   -2.18e+005   |
|   18 |    1.69e+004   |
|   19 |    1.03e+005   |
|   20 |   -2.04e+004   |
|   21 |   -2.04e+004   |
|   22 |   -2.18e+005   |
|   23 |    1.69e+004   |
|   24 |    1.03e+005   |
|   25 |   -2.04e+004   |
|   26 |   -2.04e+004   |
|   27 |   -2.18e+005   |
|   28 |    1.69e+004   |
|   29 |    1.03e+005   |
|   30 |   -2.04e+004   |
|   31 |   -2.04e+004   |
|   32 |   -2.18e+005   |
|   33 |    1.69e+004   |
|   34 |    1.03e+005   |
|   35 |   -2.04e+004   |
|   36 |   -2.04e+004   |
|   37 |   -2.18e+005   |
|   38 |    1.69e+004   |
|   39 |    1.03e+005   |
|   40 |   -2.04e+004   |
|   41 |   -2.04e+004   |
|   42 |   -2.18e+005   |
|   43 |    1.69e+004   |
|   44 |    1.03e+005   |
|   45 |   -2.04e+004   |
|   46 |   -2.04e+004   |
|   47 |   -2.18e+005   |
|   48 |    1.69e+004   |
|   49 |    1.03e+005   |
|   50 |   -2.04e+004   |
|   51 |   -2.04e+004   |
|   52 |   -2.18e+005   |
|   53 |    1.69e+004   |
|   54 |    1.03e+005   |
|   55 |   -2.04e+004   |
|   56 |   -2.04e+004   |
|   57 |   -2.18e+005   |
|   58 |    1.69e+004   |
|   59 |    1.03e+005   |
|   60 |   -2.04e+004   |
|   61 |   -2.04e+004   |
|   62 |   -2.18e+005   |
|   63 |    1.69e+004   |
|   64 |    1.03e+005   |
|   65 |   -2.04e+004   |
|   66 |   -2.04e+004   |
|   67 |   -2.18e+005   |
|   68 |    1.69e+004   |
|   69 |    1.03e+005   |
|   70 |   -2.04e+004   |
|   71 |   -2.04e+004   |
|   72 |   -2.18e+005   |
